note,velocity,t_s,hw_peak,dry_peak,envelope_dB,emu_envelope_dB
36,100,0.000000,0.105228,42.9516,-1.274,-0.321
36,100,0.045867,0.100208,43.3635,-1.781,-0.566
36,100,0.091734,0.0942998,33.8167,-0.149,-0.440
36,100,0.137601,0.0850296,30.749,-0.222,-0.116
36,100,0.183468,0.0786899,27.7379,0.000,0.009
36,100,0.229335,0.0740925,25.5868,0.178,0.000
36,100,0.275202,0.0699763,26.3187,-0.563,-0.011
36,100,0.321070,0.06643,27.0015,-1.237,-0.073
36,100,0.366937,0.0633699,26.5776,-1.510,-0.074
36,100,0.412804,0.0603936,25.7703,-1.659,-0.068
36,100,0.458671,0.0569938,23.4596,-1.347,-0.078
36,100,0.504538,0.0544209,22.4936,-1.383,-0.112
36,100,0.550405,0.0517373,20.8867,-1.178,-0.191
36,100,0.596272,0.0498997,22.563,-2.163,-0.129
36,100,0.642139,0.0477484,21.8593,-2.270,-0.229
36,100,0.688006,0.0458788,24.3655,-3.560,-0.178
36,100,0.733873,0.0435664,23.3947,-3.656,-0.241
36,100,0.779740,0.0425582,24.3471,-4.206,-0.233
36,100,0.825607,0.0409301,24.2581,-4.513,-0.284
36,100,0.871474,0.0399704,23.7795,-4.546,-0.299
36,100,0.917342,0.03809,23.6453,-4.916,-0.299
36,100,0.963209,0.0374549,23.8688,-5.143,-0.339
36,100,1.009076,0.0359091,24.7638,-5.829,-0.324
36,100,1.054943,0.0349621,24.6019,-6.004,-0.336
36,100,1.100810,0.0340422,25.8077,-6.652,-0.265
36,100,1.146677,0.0327584,24.0644,-6.378,-0.211
36,100,1.192544,0.0319064,24.5734,-6.789,-0.223
36,100,1.238411,0.0309933,22.7512,-6.372,-0.129
36,100,1.284278,0.0304664,22.6242,-6.472,-0.144
36,100,1.330145,0.0298756,21.0629,-6.021,-0.166
36,100,1.376012,0.0290814,20.5686,-6.049,-0.193
36,100,1.421879,0.0282477,20.1788,-6.135,-0.203
36,100,1.467746,0.0273656,19.345,-6.044,-0.244
36,100,1.513614,0.0266749,19.5461,-6.356,-0.226
36,100,1.559481,0.0258836,19.1509,-6.440,-0.230
36,100,1.605348,0.0249127,18.8282,-6.625,-0.188
36,100,1.651215,0.024144,19.2897,-7.107,-0.224
36,100,1.697082,0.0234929,20.701,-7.958,-0.201
36,100,1.742949,0.0222687,19.6072,-7.951,-0.221
36,100,1.788816,0.0213365,20.0409,-8.513,-0.217
36,100,1.834683,0.020382,19.5084,-8.676,-0.270
36,100,1.880550,0.0195155,19.7611,-9.166,-0.275
36,100,1.926417,0.0190482,19.5038,-9.262,-0.321
36,100,1.972284,0.0186537,19.2159,-9.315,-0.355
36,100,2.018151,0.01847,19.1458,-9.369,-0.353
36,100,2.064018,0.0181822,18.8397,-9.365,-0.334
36,100,2.109886,0.0182293,19.1129,-9.468,-0.322
36,100,2.155753,0.0184618,19.6673,-9.606,-0.295
36,100,2.201620,0.0187439,20.8512,-9.982,-0.274
36,100,2.247487,0.0188334,20.8509,-9.941,-0.326
36,100,2.293354,0.0189378,21.1598,-10.021,-0.359
36,100,2.339221,0.0184301,21.067,-10.218,-0.400
36,100,2.385088,0.0176117,20.8454,-10.521,-0.352
36,100,2.430955,0.0171959,20.4126,-10.546,-0.337
36,100,2.476822,0.0166755,21.0178,-11.067,-0.286
36,100,2.522689,0.0161016,21.2098,-11.450,-0.257
